Time in ms,X in mm,Y in mm,Z in mm
16931.28991,247.99,323.63,478.44
16961.65538,248.29,321.02,480.99
16985.66604,248.21,318.85,482.17
17010.0832,248.67,318.04,481.85
17033.38385,247.8,318.02,482.15
17062.85048,248.1,317.48,485.07
17088.87362,248.19,316.7,483.02
17113.80458,248.65,316.75,482.15
17141.49046,247.52,315.6,479.56
17166.82935,247.83,315.06,481.86
17192.26646,247.84,315.5,481.29
17216.1479,248.15,314.96,483.89
17243.49189,247.49,315.14,480.15
17275.28667,247.84,313.82,481.28
17300.30704,247.48,313.88,480.14
17325.87194,247.51,313.91,479.56
17351.63856,247.5,314.32,479.85
17377.37918,247.49,314.72,480.41
17399.98007,248.18,315.0,483.02
17425.25339,247.88,315.56,480.42
17448.97437,247.48,315.58,480.13
17478.00612,247.81,316.34,482.15
17498.75474,248.6,316.7,483.32
17527.2646,248.6,317.97,483.03
17551.64576,248.19,318.83,483.03
17579.60725,248.23,320.14,482.15
17604.30884,248.26,320.59,481.28
17629.54617,247.92,321.91,479.57
17653.03779,248.53,322.61,484.77
17678.33567,247.97,322.78,478.71
17701.4091,248.21,322.25,482.15
17728.94406,248.21,323.1,482.43
17753.63398,247.99,323.64,478.42
17778.87511,248.22,323.54,482.16
17804.9829,247.91,324.43,479.85
17829.63085,247.92,325.28,479.56
17857.12051,248.31,325.69,480.42
17882.61414,247.57,325.73,477.87
17920.41516,247.57,326.14,478.15
17944.21697,247.57,326.15,478.14
17975.21567,248.04,326.16,477.58
17998.82197,247.56,325.73,478.42
18025.93589,248.26,325.66,481.3
18049.08729,247.14,324.46,478.71
18071.42186,247.99,324.05,478.44
18097.08118,247.96,323.61,478.72
18120.9414,248.29,323.15,480.71
18144.33146,248.54,322.2,484.49
18196.03658,248.49,320.45,485.37
18225.49915,247.9,319.37,479.84
18249.62664,248.27,318.07,481.0
18274.96171,247.94,317.28,479.56
18310.745,248.53,316.63,484.49
18339.52785,248.14,316.25,483.61
18366.58931,247.93,316.43,479.84
18391.258,247.85,315.53,481.29
18420.41898,247.47,314.69,480.42
18444.66519,247.88,313.84,480.71
18471.04907,247.77,313.73,483.03
18494.56334,247.73,313.71,483.32
18516.60299,247.85,313.4,481.01
18542.11283,247.5,313.9,479.85
18567.37852,247.1,314.75,479.56
18595.15548,247.46,315.13,480.42
18618.21365,247.51,315.17,479.57
18644.36555,247.5,315.59,479.56
18669.82794,247.52,316.44,479.56
18693.77255,248.14,316.65,483.89
18715.86514,248.67,317.18,481.58
18741.87469,248.25,318.0,482.16
18765.44142,248.24,319.29,482.14
18791.32152,248.26,320.17,481.57
18821.9943,247.87,321.88,480.99
18844.86175,248.2,322.25,482.72
18868.39914,248.69,323.11,481.57
18893.01753,247.92,323.16,479.84
18928.66826,247.98,323.62,478.43
18950.109,247.55,324.45,478.72
18976.44377,248.03,325.73,477.58
19008.19278,247.58,325.75,478.14
19035.96258,248.02,325.74,477.58
19062.05559,247.59,325.73,478.13
19086.6437,248.02,326.17,477.57
19111.55033,247.98,325.74,477.87
19136.03115,247.55,325.73,478.15
19161.25274,248.0,326.16,478.14
19183.2478,247.6,325.75,477.58
19209.65695,247.99,325.3,478.42
19245.53275,248.02,324.05,478.14
19269.85049,247.2,323.63,477.31
19295.65811,247.95,323.6,479.28
19319.01026,248.23,321.83,481.59
