Time in ms,X in mm,Y in mm,Z in mm
13164.53862,249.16,317.29,478.17
13189.32581,249.54,317.67,479.29
13212.61835,249.49,317.19,480.19
13236.90248,249.5,317.23,479.89
13262.87055,249.15,317.28,478.45
13288.74826,249.5,317.22,479.89
13311.98835,249.47,317.62,480.47
13341.11381,249.47,317.62,480.19
13363.5149,249.49,317.22,479.89
13387.57682,249.12,317.27,478.74
13413.75208,249.85,317.59,481.63
13438.50446,249.51,317.21,479.9
13461.81345,249.51,317.23,479.61
13490.29517,249.5,317.22,479.89
13513.78179,249.86,317.59,481.63
13539.04295,249.85,317.16,481.63
13561.15222,249.51,317.23,479.6
13586.65037,249.48,317.2,480.19
13611.76562,249.5,317.21,480.18
13640.1248,249.51,317.23,479.88
13664.03437,249.48,317.21,480.19
13689.89158,249.53,317.25,479.31
13711.6785,249.84,317.15,481.93
13738.39259,249.87,317.18,480.77
13761.93357,249.5,317.21,479.9
13789.2921,249.51,317.64,479.6
13813.49587,249.47,317.19,480.2
13837.39877,249.5,317.22,479.61
13862.7255,249.52,317.25,479.32
13889.13131,249.49,317.22,479.9
13911.47828,249.5,317.24,479.62
13937.23345,249.79,317.12,482.79
13960.62541,249.89,317.19,480.76
13982.4369,249.83,317.57,481.64
14011.26099,249.51,317.23,479.89
14037.38928,249.5,317.22,479.9
14062.91866,249.84,317.17,481.62
14088.99522,249.12,317.25,479.03
14112.14137,249.54,317.66,479.32
14137.61783,249.1,317.66,479.04
14161.6993,249.53,317.24,479.3
14188.66634,249.87,317.61,481.05
14211.8504,249.52,317.24,479.31
14238.88731,249.51,317.22,480.17
14262.04014,249.45,317.19,480.77
14288.2781,249.49,317.63,480.18
14311.02753,249.51,317.65,479.6
14331.72727,249.51,317.23,479.6
14356.11033,249.54,317.27,478.75
14382.45392,249.5,317.2,480.17
14411.36146,249.51,317.21,479.89
14437.57248,249.51,317.66,479.32
14461.88068,249.47,317.62,480.47
14488.75761,249.51,317.24,480.17
14511.22952,249.51,317.64,479.9
14544.40355,249.46,317.19,480.47
14565.20081,249.49,317.64,480.18
14590.87348,249.15,317.69,478.47
14614.59637,249.5,317.24,479.61
14640.40041,249.51,317.65,480.17
14663.63931,249.5,317.22,479.9
14690.11164,249.54,317.24,479.32
14714.68925,249.52,317.24,479.32
14738.00516,249.49,317.64,479.89
14760.60534,249.47,317.2,480.18
14786.82661,249.5,317.63,479.89
14811.48887,249.85,317.19,481.05
