Time in ms,X in mm,Y in mm,Z in mm
11615.19241,245.99,315.36,484.48
11642.39502,245.96,315.34,485.07
11670.34841,246.05,314.99,483.3
11695.93525,246.04,315.41,483.6
11719.83862,246.16,315.52,481.28
11746.23036,245.8,315.14,480.15
11778.09167,246.21,315.14,480.15
11800.59886,248.75,315.15,480.13
11823.72975,250.34,314.61,482.73
11848.19508,251.64,315.07,481.57
11875.19479,252.96,314.73,479.85
11899.69206,254.63,314.27,480.71
11925.83442,256.21,314.52,484.19
11951.95627,257.51,314.14,483.33
11985.63194,258.39,314.19,482.15
12008.00538,258.85,313.9,479.86
12033.20694,259.23,313.8,481.58
12058.39419,259.26,313.89,480.14
12084.27787,259.27,314.31,480.15
12106.79579,259.28,314.34,479.57
12134.95803,259.23,313.84,480.73
12157.15289,259.26,313.83,480.72
12183.02178,259.22,313.36,481.87
12210.96134,259.25,313.8,481.58
12236.54795,258.84,314.3,480.13
12264.65249,258.81,314.17,482.45
12291.71085,258.38,313.7,483.31
12324.09072,257.55,313.77,482.43
12349.38025,255.95,314.38,478.42
12372.85733,255.07,314.34,479.29
12398.42105,253.84,314.8,478.72
12424.15881,252.96,314.71,480.42
12445.83583,252.0,314.13,483.6
12473.60277,249.63,314.78,478.99
12498.40236,247.51,315.18,479.29
12523.83828,246.67,315.2,479.28
12550.67468,246.19,315.54,480.99
12579.34713,245.66,315.02,482.72
12603.07574,245.29,315.08,481.3
12628.58057,245.28,315.47,481.87
12659.2772,244.46,315.5,481.57
12685.27913,245.63,315.0,483.31
12709.75208,245.64,315.01,483.01
12735.47363,245.55,314.94,484.49
12761.76381,245.62,314.98,483.32
12786.12494,245.51,315.31,485.36
12811.92422,245.63,315.0,483.31
12836.38144,245.68,315.02,482.44
12860.62479,245.77,315.54,480.44
12883.89015,244.28,315.37,484.48
12911.22341,247.09,315.18,479.28
12936.04565,247.47,315.56,480.15
12960.86407,249.5,315.05,481.86
12983.99901,250.34,314.63,481.88
13008.10838,251.57,314.56,483.04
13035.12001,252.44,314.99,483.02
13058.44975,253.28,314.57,483.31
13095.72458,254.16,314.63,482.15
13119.54212,254.24,314.34,479.28
13144.0587,255.53,314.79,478.7
13167.31191,260.98,314.34,479.55
13194.96393,257.94,314.11,483.6
13224.04456,258.39,313.8,481.58
13258.86011,258.83,313.84,480.99
13283.00524,259.26,313.8,481.57
13310.58908,259.25,313.84,481.28
13336.30991,259.25,313.84,480.99
13359.13682,259.25,313.83,480.98
13382.4079,259.26,314.25,480.98
13406.47364,259.24,314.25,481.28
13431.98156,258.82,313.84,480.73
13456.94304,258.79,314.14,483.32
13482.3966,258.38,313.73,483.3
13509.24039,256.32,314.32,479.85
